read_id	nh
ILLUMINA-075005_0053_FC:3:1:12404:1075#0	1
ILLUMINA-075005_0053_FC:3:1:13599:1075#0	1
ILLUMINA-075005_0053_FC:3:1:13702:1076#0	1
ILLUMINA-075005_0053_FC:3:1:13990:1075#0	2
ILLUMINA-075005_0053_FC:3:1:14163:1075#0	1
ILLUMINA-075005_0053_FC:3:1:14506:1073#0	1
ILLUMINA-075005_0053_FC:3:1:14529:1078#0	1
ILLUMINA-075005_0053_FC:3:1:14875:1076#0	1
ILLUMINA-075005_0053_FC:3:1:14978:1079#0	1
ILLUMINA-075005_0053_FC:3:1:15040:1082#0	1
ILLUMINA-075005_0053_FC:3:1:15115:1073#0	1
ILLUMINA-075005_0053_FC:3:1:15168:1078#0	1
ILLUMINA-075005_0053_FC:3:1:15924:1076#0	1
ILLUMINA-075005_0053_FC:3:1:16397:1075#0	1
ILLUMINA-075005_0053_FC:3:1:16425:1082#0	1
ILLUMINA-075005_0053_FC:3:1:16455:1072#0	1
ILLUMINA-075005_0053_FC:3:1:16527:1076#0	1
ILLUMINA-075005_0053_FC:3:1:16670:1074#0	1
ILLUMINA-075005_0053_FC:3:1:16713:1074#0	1
ILLUMINA-075005_0053_FC:3:1:17716:1074#0	1
ILLUMINA-075005_0053_FC:3:1:18094:1076#0	1
ILLUMINA-075005_0053_FC:3:1:18500:1073#0	1
ILLUMINA-075005_0053_FC:3:1:18600:1074#0	1
ILLUMINA-075005_0053_FC:3:1:19297:1079#0	1
ILLUMINA-075005_0053_FC:3:1:1349:1093#0	1
ILLUMINA-075005_0053_FC:3:1:1808:1091#0	1
ILLUMINA-075005_0053_FC:3:1:2229:1084#0	1
ILLUMINA-075005_0053_FC:3:1:2259:1092#0	7
ILLUMINA-075005_0053_FC:3:1:2311:1090#0	1
ILLUMINA-075005_0053_FC:3:1:2420:1084#0	1
ILLUMINA-075005_0053_FC:3:1:2461:1087#0	1
ILLUMINA-075005_0053_FC:3:1:2612:1088#0	1
ILLUMINA-075005_0053_FC:3:1:3345:1087#0	1
ILLUMINA-075005_0053_FC:3:1:3505:1090#0	1
ILLUMINA-075005_0053_FC:3:1:3764:1087#0	1
ILLUMINA-075005_0053_FC:3:1:4124:1087#0	1
ILLUMINA-075005_0053_FC:3:1:4433:1091#0	1
ILLUMINA-075005_0053_FC:3:1:4893:1087#0	1
